Superficie (x,y)ini - (x,y)fin en metros TUNEL-CIRCULAR 300
150	N_topo segmentos :: T^0 + T^d = 0
0    	N_cont segmentos :: T^d = T^0; u^d = u^0
0    	N_vall segmentos :: T^d = 0
***** [topo] Tracciones nulas en medio estratificado ***** [normales hacia el aire]
1  1   <- escala:x escala:y
0  0   <- offset:x offset:y
1.0   <- [negativo invierte normal]
-0.92978 0.36812 -0.93728 0.34857 F
-0.93728 0.34857 -0.94438 0.32887 F
-0.94438 0.32887 -0.95106 0.30902 F
-0.95106 0.30902 -0.95732 0.28903 F
-0.95732 0.28903 -0.96316 0.26892 F
-0.96316 0.26892 -0.96858 0.24869 F
-0.96858 0.24869 -0.97358 0.22835 F
-0.97358 0.22835 -0.97815 0.20791 F
-0.97815 0.20791 -0.98229 0.18738 F
-0.98229 0.18738 -0.986 0.16677 F
-0.986 0.16677 -0.98927 0.14608 F
-0.98927 0.14608 -0.99211 0.12533 F
-0.99211 0.12533 -0.99452 0.10453 F
-0.99452 0.10453 -0.99649 0.083678 F
-0.99649 0.083678 -0.99803 0.062791 F
-0.99803 0.062791 -0.99912 0.041876 F
-0.99912 0.041876 -0.99978 0.005 F
-0.99978 0.005 -1.10000 0.00000 T
***** [cont] Continuidad de desplazamientos y esfuerzos ***** [normales hacia la inclusión]
1 1  <- escala:x escala:y
0 0  <- offset:x offset:y
1.0  <- escala:n
***** [vall] Tracciones nulas en inclusión ***** [normales hacia la inclusión]
1 1  <- escala:x escala:y
0 0  <- offset:x offset:y
1.0  <- escala:n
Inclusion properties
Alfa(m/s) Beta(m/s) Dens(T/m3) 
2.0   1.0   1.0
Cualquier receptor dentro de esta superficie está en el aire
150    N segmentos 
1 1  <- escala:x escala:y
0 0  <- offset:x offset:y
1.10000 0.00000 0.99978 0.005 F
0.99978 0.005 0.99912 0.041876 F
0.99912 0.041876 0.99803 0.062791 F
0.99803 0.062791 0.99649 0.083678 F
0.99649 0.083678 0.99452 0.10453 F
0.99452 0.10453 0.99211 0.12533 F
0.99211 0.12533 0.98927 0.14608 F
0.98927 0.14608 0.986 0.16677 F
0.986 0.16677 0.98229 0.18738 F
0.98229 0.18738 0.97815 0.20791 F
0.97815 0.20791 0.97358 0.22835 F
0.97358 0.22835 0.96858 0.24869 F
0.96858 0.24869 0.96316 0.26892 F
0.96316 0.26892 0.95732 0.28903 F
0.95732 0.28903 0.95106 0.30902 F
0.95106 0.30902 0.94438 0.32887 F
0.94438 0.32887 0.93728 0.34857 F
0.93728 0.34857 0.92978 0.36812 F
0.92978 0.36812 0.92186 0.38752 F
0.92186 0.38752 0.91355 0.40674 F
0.91355 0.40674 0.90483 0.42578 F
0.90483 0.42578 0.89571 0.44464 F
0.89571 0.44464 0.8862 0.4633 F
0.8862 0.4633 0.87631 0.48175 F
0.87631 0.48175 0.86603 0.5 F
0.86603 0.5 0.85536 0.51803 F
0.85536 0.51803 0.84433 0.53583 F
0.84433 0.53583 0.83292 0.55339 F
0.83292 0.55339 0.82115 0.57071 F
0.82115 0.57071 0.80902 0.58779 F
0.80902 0.58779 0.79653 0.6046 F
0.79653 0.6046 0.78369 0.62115 F
0.78369 0.62115 0.77051 0.63742 F
0.77051 0.63742 0.757 0.65342 F
0.757 0.65342 0.74314 0.66913 F
0.74314 0.66913 0.72897 0.68455 F
0.72897 0.68455 0.71447 0.69966 F
0.71447 0.69966 0.69966 0.71447 F
0.69966 0.71447 0.68455 0.72897 F
0.68455 0.72897 0.66913 0.74314 F
0.66913 0.74314 0.65342 0.757 F
0.65342 0.757 0.63742 0.77051 F
0.63742 0.77051 0.62115 0.78369 F
0.62115 0.78369 0.6046 0.79653 F
0.6046 0.79653 0.58779 0.80902 F
0.58779 0.80902 0.57071 0.82115 F
0.57071 0.82115 0.55339 0.83292 F
0.55339 0.83292 0.53583 0.84433 F
0.53583 0.84433 0.51803 0.85536 F
0.51803 0.85536 0.5 0.86603 F
0.5 0.86603 0.48175 0.87631 F
0.48175 0.87631 0.4633 0.8862 F
0.4633 0.8862 0.44464 0.89571 F
0.44464 0.89571 0.42578 0.90483 F
0.42578 0.90483 0.40674 0.91355 F
0.40674 0.91355 0.38752 0.92186 F
0.38752 0.92186 0.36812 0.92978 F
0.36812 0.92978 0.34857 0.93728 F
0.34857 0.93728 0.32887 0.94438 F
0.32887 0.94438 0.30902 0.95106 F
0.30902 0.95106 0.28903 0.95732 F
0.28903 0.95732 0.26892 0.96316 F
0.26892 0.96316 0.24869 0.96858 F
0.24869 0.96858 0.22835 0.97358 F
0.22835 0.97358 0.20791 0.97815 F
0.20791 0.97815 0.18738 0.98229 F
0.18738 0.98229 0.16677 0.986 F
0.16677 0.986 0.14608 0.98927 F
0.14608 0.98927 0.12533 0.99211 F
0.12533 0.99211 0.10453 0.99452 F
0.10453 0.99452 0.083678 0.99649 F
0.083678 0.99649 0.062791 0.99803 F
0.062791 0.99803 0.041876 0.99912 F
0.041876 0.99912 0.020942 0.99978 F
0.020942 0.99978 6.1232e-17 1 F
6.1232e-17 1 -0.020942 0.99978 F
-0.020942 0.99978 -0.041876 0.99912 F
-0.041876 0.99912 -0.062791 0.99803 F
-0.062791 0.99803 -0.083678 0.99649 F
-0.083678 0.99649 -0.10453 0.99452 F
-0.10453 0.99452 -0.12533 0.99211 F
-0.12533 0.99211 -0.14608 0.98927 F
-0.14608 0.98927 -0.16677 0.986 F
-0.16677 0.986 -0.18738 0.98229 F
-0.18738 0.98229 -0.20791 0.97815 F
-0.20791 0.97815 -0.22835 0.97358 F
-0.22835 0.97358 -0.24869 0.96858 F
-0.24869 0.96858 -0.26892 0.96316 F
-0.26892 0.96316 -0.28903 0.95732 F
-0.28903 0.95732 -0.30902 0.95106 F
-0.30902 0.95106 -0.32887 0.94438 F
-0.32887 0.94438 -0.34857 0.93728 F
-0.34857 0.93728 -0.36812 0.92978 F
-0.36812 0.92978 -0.38752 0.92186 F
-0.38752 0.92186 -0.40674 0.91355 F
-0.40674 0.91355 -0.42578 0.90483 F
-0.42578 0.90483 -0.44464 0.89571 F
-0.44464 0.89571 -0.4633 0.8862 F
-0.4633 0.8862 -0.48175 0.87631 F
-0.48175 0.87631 -0.5 0.86603 F
-0.5 0.86603 -0.51803 0.85536 F
-0.51803 0.85536 -0.53583 0.84433 F
-0.53583 0.84433 -0.55339 0.83292 F
-0.55339 0.83292 -0.57071 0.82115 F
-0.57071 0.82115 -0.58779 0.80902 F
-0.58779 0.80902 -0.6046 0.79653 F
-0.6046 0.79653 -0.62115 0.78369 F
-0.62115 0.78369 -0.63742 0.77051 F
-0.63742 0.77051 -0.65342 0.757 F
-0.65342 0.757 -0.66913 0.74314 F
-0.66913 0.74314 -0.68455 0.72897 F
-0.68455 0.72897 -0.69966 0.71447 F
-0.69966 0.71447 -0.71447 0.69966 F
-0.71447 0.69966 -0.72897 0.68455 F
-0.72897 0.68455 -0.74314 0.66913 F
-0.74314 0.66913 -0.757 0.65342 F
-0.757 0.65342 -0.77051 0.63742 F
-0.77051 0.63742 -0.78369 0.62115 F
-0.78369 0.62115 -0.79653 0.6046 F
-0.79653 0.6046 -0.80902 0.58779 F
-0.80902 0.58779 -0.82115 0.57071 F
-0.82115 0.57071 -0.83292 0.55339 F
-0.83292 0.55339 -0.84433 0.53583 F
-0.84433 0.53583 -0.85536 0.51803 F
-0.85536 0.51803 -0.86603 0.5 F
-0.86603 0.5 -0.87631 0.48175 F
-0.87631 0.48175 -0.8862 0.4633 F
-0.8862 0.4633 -0.89571 0.44464 F
-0.89571 0.44464 -0.90483 0.42578 F
-0.90483 0.42578 -0.91355 0.40674 F
-0.91355 0.40674 -0.92186 0.38752 F
-0.92186 0.38752 -0.92978 0.36812 F
-0.92978 0.36812 -0.93728 0.34857 F
-0.93728 0.34857 -0.94438 0.32887 F
-0.94438 0.32887 -0.95106 0.30902 F
-0.95106 0.30902 -0.95732 0.28903 F
-0.95732 0.28903 -0.96316 0.26892 F
-0.96316 0.26892 -0.96858 0.24869 F
-0.96858 0.24869 -0.97358 0.22835 F
-0.97358 0.22835 -0.97815 0.20791 F
-0.97815 0.20791 -0.98229 0.18738 F
-0.98229 0.18738 -0.986 0.16677 F
-0.986 0.16677 -0.98927 0.14608 F
-0.98927 0.14608 -0.99211 0.12533 F
