Superficie (x,y)ini - (x,y)fin en metros puenteValuarte
0    N_topo segmentos :: T^0 + T^d = 0
67   N_cont segmentos :: T^d = T^0; u^d = u^0
60    N_vall segmentos :: T^d = 0
***** [topo] Tracciones nulas en medio estratificado ***** [normales hacia el aire]
1.0 1.0  <- escala:x escala:y
0 0  <- offset:x offset:y
1.0  <- escala:n
***** [cont] Continuidad de desplazamientos y esfuerzos ***** [normales hacia la inclusión]
1 1  <- escala:x escala:y
10 80  <- offset:x offset:y
1.0  <- escala:n
   6.4941    -2.8914      6.7653    -2.1982  F 
   6.7653    -2.1982      6.9304    -1.4731  F 
   6.9304    -1.4731      7.0136    -0.7372  F 
   7.0136    -0.7372      7.0136     0.0000  F 
   7.0136     0.0000      6.8589     0.7209  F 
   6.8589     0.7209      6.6476     1.4130  F 
   6.6476     1.4130      6.3713     2.0702  F 
   6.3713     2.0702      6.0356     2.6872  F 
   6.0356     2.6872      5.6465     3.2600  F 
   5.6465     3.2600      5.2095     3.7849  F 
   5.2095     3.7849      4.7305     4.2594  F 
   4.7305     4.2594      4.2150     4.6812  F 
   4.2150     4.6812      3.6683     5.0490  F 
   3.6683     5.0490      3.0954     5.3614  F 
   3.0954     5.3614      2.5012     5.6178  F 
   2.5012     5.6178      1.8903     5.8176  F 
   1.8903     5.8176      1.2670     5.9606  F 
   1.2670     5.9606      0.6355     6.0464  F   
   0.6355     6.0464      0.0000     6.0750  F
Inclusion properties
Alfa(m/s) Beta(m/s) Dens(T/m3) 
100000.0   1000000.0   2.0
Cualquier receptor dentro de esta superficie está en el aire
60    N segmentos 
1.0 1.0  <- escala:x escala:y
10 80  <- offset:x offset:y   
   0.0000     6.0750     -0.6355     6.0464  F 
  -0.6355     6.0464     -1.2670     5.9606  F 
  -1.2670     5.9606     -1.8903     5.8176  F 
  -1.8903     5.8176     -2.5012     5.6178  F 
  -2.5012     5.6178     -3.0954     5.3614  F 
  -3.0954     5.3614     -3.6683     5.0490  F 
  -3.6683     5.0490     -4.2150     4.6812  F 
  -4.2150     4.6812     -4.7305     4.2594  F 
  -4.7305     4.2594     -5.2095     3.7849  F 
  -5.2095     3.7849     -5.6465     3.2600  F 
  -5.6465     3.2600     -6.0356     2.6872  F 
  -6.0356     2.6872     -6.3713     2.0702  F 
  -6.3713     2.0702     -6.6476     1.4130  F 
  -6.6476     1.4130     -6.8589     0.7209  F 
  -6.8589     0.7209     -7.0000     0.0000  F 
  -7.0000     0.0000     -7.0136    -0.7372  F 
  -7.0136    -0.7372     -6.9304    -1.4731  F 
  -6.9304    -1.4731     -6.7517    -2.1938  F 
  -6.7517    -2.1938     -6.4941    -2.8914  F 
  -6.4941    -2.8914     -6.1504    -3.5509  F 
  -6.1504    -3.5509     -5.7272    -4.1611  F 
  -5.7272    -4.1611     -5.2135    -4.6943  F 
  -5.2135    -4.6943     -4.5340    -5.0355  F 
  -4.5340    -5.0355     -3.8451    -5.2923  F 
  -3.8451    -5.2923     -3.1740    -5.4976  F 
  -3.1740    -5.4976     -2.5189    -5.6576  F 
  -2.5189    -5.6576     -1.8771    -5.7773  F 
  -1.8771    -5.7773     -1.2456    -5.8602  F 
  -1.2456    -5.8602     -0.6211    -5.9089  F 
  -0.6211    -5.9089      0.0000    -5.9250  F 
   0.0000    -5.9250      0.6211    -5.9089  F 
   0.6211    -5.9089      1.2456    -5.8602  F 
   1.2456    -5.8602      1.8771    -5.7773  F 
   1.8771    -5.7773      2.5189    -5.6576  F 
   2.5189    -5.6576      3.1740    -5.4976  F 
   3.1740    -5.4976      3.8451    -5.2923  F 
   3.8451    -5.2923      4.5340    -5.0355  F 
   4.5340    -5.0355      5.2135    -4.6943  F 
   5.2135    -4.6943      5.7272    -4.1611  F 
   5.7272    -4.1611      6.1504    -3.5509  F 
   6.1504    -3.5509      6.4941    -2.8914  F 
   6.4941    -2.8914      6.7653    -2.1982  F 
   6.7653    -2.1982      6.9304    -1.4731  F 
   6.9304    -1.4731      7.0136    -0.7372  F 
   7.0136    -0.7372      7.0136     0.0000  F 
   7.0136     0.0000      6.8589     0.7209  F 
   6.8589     0.7209      6.6476     1.4130  F 
   6.6476     1.4130      6.3713     2.0702  F 
   6.3713     2.0702      6.0356     2.6872  F 
   6.0356     2.6872      5.6465     3.2600  F 
   5.6465     3.2600      5.2095     3.7849  F 
   5.2095     3.7849      4.7305     4.2594  F 
   4.7305     4.2594      4.2150     4.6812  F 
   4.2150     4.6812      3.6683     5.0490  F 
   3.6683     5.0490      3.0954     5.3614  F 
   3.0954     5.3614      2.5012     5.6178  F 
   2.5012     5.6178      1.8903     5.8176  F 
   1.8903     5.8176      1.2670     5.9606  F 
   1.2670     5.9606      0.6355     6.0464  F   
   0.6355     6.0464      0.0000     6.0750  F
Cualquier receptor dentro de estas superficies está en la region homogenea
1  N de regiones
67  Total de segmentos
67   N segmentos 
1 1  <- escala:x escala:y
10 80  <- offset:x offset:y
   0.0000     6.3250     0.6616     6.2950   F  
   0.6616     6.2950     1.3190     6.2052   F  
   1.3190     6.2052     1.9676     6.0556   F  
   1.9676     6.0556     2.6031     5.8466   F  
   2.6031     5.8466     3.2207     5.5784   F  
   3.2207     5.5784     3.8157     5.2519   F  
   3.8157     5.2519     4.3830     4.8678   F  
   4.3830     4.8678     4.9173     4.4276   F  
   4.9173     4.4276     5.4130     3.9328   F  
   5.4130     3.9328     5.8645     3.3859   F  
   5.8645     3.3859     6.2659     2.7897   F  
   6.2659     2.7897     6.6111     2.1481   F  
   6.6111     2.1481     6.8944     1.4654   F  
   6.8944     1.4654     7.1100     0.7473   F  
   7.1100     0.7473     7.2530    -0.0172   F  
   7.2530    -0.0172     7.2680    -0.7573   F  
   7.2680    -0.7573     7.1773    -1.5256   F  
   7.1773    -1.5256     7.0118    -2.2783   F  
   7.0118    -2.2783     6.8499    -3.0498   F  
   6.8499    -3.0498     6.6805    -3.8570   F  
   6.6805    -3.8570     6.4990    -4.7218   F  
   6.4990    -4.7218     6.3604    -5.3825   F  
   6.3604    -5.3825     6.2465    -5.9250   F  
   6.2465    -5.9250     5.6117    -5.9250   F  
   5.6117    -5.9250     4.9769    -5.9250   F  
   4.9769    -5.9250     4.4543    -5.5865   F  
   4.4543    -5.5865     4.1435    -5.7030   F  
   4.1435    -5.7030     3.4271    -5.9359   F  
   3.4271    -5.9359     3.4271    -5.9359   F  
   3.4271    -5.9359     2.7240    -6.1183   F  
   2.7240    -6.1183     2.0324    -6.2552   F  
   2.0324    -6.2552     1.3498    -6.3504   F  
   1.3498    -6.3504     0.6733    -6.4065   F  
   0.6733    -6.4065     0.0000    -6.4250   F  
   0.0000    -6.4250    -0.6733    -6.4065   F  
  -0.6733    -6.4065    -1.3498    -6.3504   F  
  -1.3498    -6.3504    -2.0324    -6.2552   F  
  -2.0324    -6.2552    -2.7240    -6.1183   F  
  -2.7240    -6.1183    -3.4271    -5.9359   F  
  -3.4271    -5.9359    -4.1435    -5.7030   F  
  -4.1435    -5.7030    -4.4543    -5.5865   F  
  -4.4543    -5.5865    -4.9769    -5.9250   F  
  -4.9769    -5.9250    -5.6117    -5.9250   F  
  -5.6117    -5.9250    -6.2465    -5.9250   F  
  -6.2465    -5.9250    -6.3707    -5.3331   F  
  -6.3707    -5.3331    -6.4990    -4.7218   F  
  -6.4990    -4.7218    -6.6805    -3.8570   F  
  -6.6805    -3.8570    -6.8499    -3.0498   F  
  -6.8499    -3.0498    -7.0118    -2.2783   F  
  -7.0118    -2.2783    -7.1773    -1.5256   F  
  -7.1773    -1.5256    -7.2676    -0.7639   F  
  -7.2676    -0.7639    -7.2513     0.0000   F  
  -7.2513     0.0000    -7.1100     0.7473   F  
  -7.1100     0.7473    -6.8944     1.4654   F  
  -6.8944     1.4654    -6.6111     2.1481   F  
  -6.6111     2.1481    -6.2659     2.7897   F  
  -6.2659     2.7897    -5.8645     3.3859   F  
  -5.8645     3.3859    -5.4130     3.9328   F  
  -5.4130     3.9328    -4.9173     4.4276   F  
  -4.9173     4.4276    -4.3830     4.8678   F  
  -4.3830     4.8678    -3.8157     5.2519   F  
  -3.8157     5.2519    -3.2207     5.5784   F  
  -3.2207     5.5784    -2.6031     5.8466   F  
  -2.6031     5.8466    -1.9676     6.0556   F  
  -1.9676     6.0556    -1.3190     6.2052   F  
  -1.3190     6.2052    -0.6616     6.2950   F  
  -0.6616     6.2950     0.0000     6.3250   F
Borde de región homogenea cuando flip12 .true.
0    N segmentos 
1.0  1.0   <- escala:x escala:y
0.0  0.0   <- offset:x offset:y

